fold,cutoff_date,merchant_id,merchant_category,n_days,q_hat,raw_pinball_p10,raw_pinball_p50,raw_pinball_p90,raw_coverage,cal_pinball_p10,cal_pinball_p50,cal_pinball_p90,cal_coverage,ordering_violations
1,2026-01-30,mcht_d2c_01,d2c_ecommerce,14,103251.89,20266.81557142857,96338.30142857143,89795.39899999998,0.6428571428571429,10629.013068027214,96338.30142857143,100120.58773809522,0.9285714285714286,0
1,2026-01-30,mcht_d2c_02,d2c_ecommerce,14,103251.89,43929.6087857143,199240.20678571428,89107.59785714283,0.42857142857142855,14686.338799319721,199240.20678571428,99432.78659523807,0.7857142857142857,0
1,2026-01-30,mcht_d2c_03,d2c_ecommerce,14,103251.89,27328.846357142862,245618.35499999995,68981.68399999998,0.5714285714285714,13864.689380952386,245618.35499999995,79306.87273809523,1.0,0
1,2026-01-30,mcht_d2c_04,d2c_ecommerce,14,103251.89,20418.225285714285,78954.18214285713,82623.19971428569,0.35714285714285715,9645.95473809524,78954.18214285713,92948.38845238092,1.0,0
1,2026-01-30,mcht_food_01,food_delivery,14,103251.89,3549.023642857143,5867.220000000001,38992.399714285704,0.8571428571428571,12429.262380952383,5867.220000000001,49317.58845238095,1.0,0
1,2026-01-30,mcht_food_02,food_delivery,14,103251.89,5197.545214285715,5437.854285714287,50415.13364285714,1.0,15522.733952380953,5437.854285714287,60740.32238095237,1.0,0
1,2026-01-30,mcht_food_03,food_delivery,14,103251.89,9194.015142857144,30892.669642857156,65299.770499999984,0.8571428571428571,16709.490309523815,30892.669642857156,75624.95923809522,1.0,0
1,2026-01-30,mcht_mkt_01,marketplace,14,103251.89,35401.302,95870.50392857143,44130.40235714285,0.7857142857142857,34733.01806802721,95870.50392857143,54455.591095238095,0.9285714285714286,0
1,2026-01-30,mcht_mkt_02,marketplace,14,103251.89,46301.06992857143,119720.4657142857,53278.494142857155,0.6428571428571429,49251.123853741505,119720.4657142857,45393.943068027205,0.8571428571428571,0
1,2026-01-30,mcht_mkt_03,marketplace,14,103251.89,64416.04385714287,142892.14285714287,103138.22728571427,0.6428571428571429,67366.09778231294,142892.14285714287,88643.52301360546,0.7142857142857143,0
1,2026-01-30,mcht_mkt_04,marketplace,14,103251.89,32734.227571428575,70405.11821428571,70872.22207142855,0.7857142857142857,24488.34596938776,70405.11821428571,81197.41080952379,0.8571428571428571,0
1,2026-01-30,mcht_saas_01,saas_subscription,14,103251.89,1097.9292857142855,1258.187142857142,5587.421142857142,0.5,10311.133023809527,1258.187142857142,15912.60988095238,1.0,0
1,2026-01-30,mcht_saas_02,saas_subscription,14,103251.89,1317.9773571428577,3842.209285714285,3506.4527142857146,0.2857142857142857,11513.22823809524,3842.209285714285,10577.90930952381,1.0,0
1,2026-01-30,mcht_saas_03,saas_subscription,14,103251.89,6005.552071428571,4293.385714285711,40640.87592857141,1.0,16330.740809523812,4293.385714285711,50966.06466666666,1.0,0
1,2026-01-30,mcht_saas_04,saas_subscription,14,103251.89,716.5242857142846,1920.9464285714296,1857.8454999999994,0.9285714285714286,10927.2565952381,1920.9464285714296,12183.034238095237,1.0,0
2,2026-02-13,mcht_d2c_01,d2c_ecommerce,14,149.29,6211.378214285715,10710.254642857142,9044.949857142856,0.6428571428571429,6204.980175510206,10710.254642857142,9027.88842040816,0.6428571428571429,0
2,2026-02-13,mcht_d2c_02,d2c_ecommerce,14,149.29,11388.275,20239.785357142857,6060.883857142855,0.8571428571428571,11392.540359183675,20239.785357142857,6065.149216326528,0.8571428571428571,0
2,2026-02-13,mcht_d2c_03,d2c_ecommerce,14,149.29,19044.52514285714,39856.880357142865,46810.64321428571,0.9285714285714286,19059.453899999997,39856.880357142865,46814.90857346938,0.9285714285714286,0
2,2026-02-13,mcht_d2c_04,d2c_ecommerce,14,149.29,3520.1471428571426,10170.363214285711,5505.196857142857,0.7142857142857143,3524.4125020408164,10170.363214285711,5488.135420408164,0.7142857142857143,0
2,2026-02-13,mcht_food_01,food_delivery,14,149.29,3997.5115,5450.346785714287,3344.1928571428566,0.7142857142857143,3969.7866653061246,5450.346785714287,3359.1216142857143,0.7142857142857143,0
2,2026-02-13,mcht_food_02,food_delivery,14,149.29,5442.286071428571,11548.101785714285,8024.649357142856,0.8571428571428571,5446.551430612244,11548.101785714285,8028.91471632653,0.8571428571428571,0
